DEPTH;GR
4061,0028;105,2929
3996,2328;137,8805
3425,7996;93,1726
4117,5432;97,1903
3868,9788;74,2065
3878,8848;83,9509
3754,374;91,1269
4206,5448;108,6751
3967,4292;78,2198
4155,948;100,5789
3878,58;86,0494
3772,2048;86,626
3834,5364;77,1924
3964,2288;359,4535
3721,7604;85,8768
3883,6092;92,8037
4171,3404;91,1618
4249,674;47,5801
3566,922;100,4909
3854,958;82,6168
4252,8744;75,4383
3959,0472;297,8855
3654,552;123,7265
3425,6472;92,2808
3825,0876;78,5855
4261,866;106,1098
4190,5428;95,5228
4041,9528;192,5291
3661,5624;103,8712
3629,2536;102,4457
3596,64;215,0633
4283,8116;137,134
4083,8628;103,2977
4149,852;94,4223
3887,5716;95,5017
4031,8944;173,0347
3507,486;113,0153
3684,8796;81,0955
3703,32;102,1819
4120,4388;96,3448
3892,4484;85,9348
4197,858;100,0368
3665,3724;84,7917
3667,0488;82,9551
4136,2884;87,8109
4099,7124;103,5106
4016,0448;185,0127
3552,2916;99,1807
3486,3024;110,7565
4217,5176;103,9567
3696,1572;94,2337
4134,3072;85,5935
4301,3376;137,134
3945,3312;81,0415
3689,4516;212,3121
4082,796;102,1067
3845,3568;74,7116
3800,856;84,4524
4225,4424;114,612
3806,19;89,2791
3441,6492;94,0919
4297,0704;137,134
3749,802;89,049
3450,0312;103,2252
4167,0732;93,8876
3429;102,2377
4293,7176;137,134
3417,1128;86,2477
4299,0516;137,134
3643,7316;102,0477
3509,9244;93,403
3549,7008;90,3408
3678,0216;80,6565
3657,1428;101,5157
4235,958;116,3638
4065,4224;98,3309
3847,9476;70,0104
4147,7184;91,1918
3573,78;94,6077
3738,372;93,3654
3544,9764;92,2233
3640,2264;97,7176
3546,9576;90,2016
3823,2588;80,072
3532,4796;102,7277
4299,6612;137,134
3581,2476;99,1846
3679,3932;60,1294
4196,7912;95,7591
3829,812;71,7861
3719,9316;84,9578
3847,0332;73,208
4115,8668;100,3424
4150,4616;94,1487
4271,3148;137,134
3492,0936;112,3575
3562,35;104,2263
3817,0104;77,9144
4191,3048;97,0707
3647,3892;117,7931
3914,5464;90,5183
3905,8596;96,0145
3647,9988;93,4374
3516,63;199,1537
3945,0264;83,8393
3982,974;114,1652
4110,5328;113,6618
3698,4432;108,9367
3696,462;103,0884
3864,4068;74,4225
3948,684;105,7629
3608,07;45,8972
3810,6096;82,9659
4063,746;96,9605
3732,5808;94,3488
4080,2052;100,0528
3970,782;96,4821
3470,4528;99,3986
4280,0016;137,134
3536,1372;101,0443
4123,4868;91,1583
3751,1736;89,0531
3998,0616;300,4952
3414,3696;94,7341
3589,02;91,8654
3835,7556;75,8709
4159,9104;88,4208
3434,1816;92,9774
3769,9188;86,0637
4288,3836;137,134
3860,4444;77,1098
3490,1124;110,398
4300,728;137,134
3868,674;70,2679
3810,9144;82,7273
3440,1252;86,9805
3830,574;80,6197
3418,6368;90,0171
3795,9792;95,2542
3965,6004;92,2993
3858,3108;66,966
4021,6836;201,0359
4215,9936;111,7498
3929,0244;92,0823
3601,3644;192,8504
3800,5512;86,6068
3700,7292;108,235
4141,9272;88,6994
3797,046;99,9739
3593,2872;192,33
3807,714;85,9951
4044,3912;289,9041
4190,3904;98,2829
3818,2296;77,2154
3877,5132;78,5136
3968,6484;80,382
3669,4872;111,9107
3951,732;262,3302
4162,6536;95,7727
3566,3124;96,6826
3539,9472;101,7514
3534,0036;102,8634
3992,7276;105,9294
3904,0308;95,9086
3763,0608;103,3428
3904,3356;96,4942
4204,8684;96,3215
4101,2364;100,5042
4170,8832;98,7856
3720,6936;85,9415
3585,6672;105,1363
4297,2228;137,134
3941,3688;83,9967
3586,734;108,7997
3881,3232;83,7147
4183,2276;97,9557
3813,5052;84,2787
3576,3708;55,5304
3470,3004;98,5915
3736,848;93,4391
3820,8204;72,4677
3611,4228;57,3619
4229,7096;113,1443
3888,1812;99,7787
3760,3176;87,312
4003,2432;264,6728
3594,6588;224,0471
3922,4712;92,2356
3978,8592;106,5124
4151,376;95,746
3595,116;245,1113
3992,4228;105,8286
3731,0568;91,5057
3580,9428;92,6373
4246,3212;79,3257
3744,9252;92,7639
4083,7104;101,2602
3966,21;86,1041
3677,5644;76,3494
3972,7632;98,8858
3902,964;88,4421
3496,818;101,8659
3695,2428;93,9882
3487,674;120,5593
3469,5384;100,9702
3977,9448;100,1209
3415,4364;92,2584
3564,1788;94,409
3618,4332;100,9716
3517,6968;120,4636
4035,3996;173,3032
3474,4152;96,8287
4070,7564;87,8528
4064,8128;97,3037
4211,8788;98,3617
3838,0416;66,9864
3770,8332;81,0222
3975,5064;96,5266
3462,9852;106,3968
3735,4764;89,8769
4286,25;137,134
3426,4092;89,1551
4158,996;94,8721
4121,5056;88,2994
3466,1856;43,1455
4276,1916;137,134
3542,538;93,8214
3534,7656;100,871
3621,786;99,9127
3485,0832;105,6695
3736,2384;102,6015
3473,6532;96,0979
3440,2776;87,2779
3568,1412;90,9555
3513,2772;124,1721
4163,2632;100,1176
3608,5272;48,6535
3912,2604;96,2244
4046,3724;370,4389
3805,2756;87,3034
4000,9572;200,9341
4052,0112;100,8016
3826,764;80,9652
3915,6132;87,9316
4165,7016;103,4286
4082,6436;102,4113
3523,7928;121,3376
3999,5856;284,4078
4186,2756;100,2693
4071,8232;107,0536
4175,1504;91,2222
4109,7708;103,8776
3717,3408;114,3563
4008,4248;175,3989
3986,1744;87,6981
3572,5608;104,3072
3603,8028;67,0665
3660,4956;99,6443
3541,014;98,4507
4018,6356;210,3524
3494,6844;107,7063
4261,4088;101,811
3614,6232;99,5154
3918,966;97,8004
3597,2496;210,0205
4048,2012;95,9518
3488,8932;112,776
4023,0552;192,4714
3660,1908;96,1763
4124,0964;99,8581
4253,6364;85,221
3792,474;187,2778
4171,188;94,1883
3516,4776;201,0988
3468,9288;95,8663
3662,4768;123,045
4073,8044;141,8132
3952,3416;300,6928
3799,9416;87,5531
3524,0976;106,5101
3747,6684;86,8272
3962,5524;89,4749
3466,0332;44,8933
3655,9236;112,0354
4130,4972;102,7021
3601,5168;195,1138
4169,9688;98,6705
4142,6892;92,4766
3471,672;101,5625
3608,6796;51,4069
4280,3064;137,134
3828,8976;76,8932
4160,6724;98,0868
3781,806;84,5089
4054,4496;97,9713
3713,3784;102,8175
4176,8268;101,393
3836,5176;69,6329
3613,7088;46,8312
4034,79;192,4512
3742,7916;91,9721
4127,1444;101,8486
4145,28;92,5852
4257,7512;116,2688
4148,328;90,5947
4178,1984;102,4398
3704,2344;96,8265
3596,3352;217,8931
3459,9372;113,1903
3434,6388;86,0947
3939,0828;88,6327
4056,7356;94,1492
3624,6816;99,3337
4133,5452;91,8644
3753,4596;96,8534
3980,8404;100,8964
3483,2544;147,7266
3594,9636;237,2832
3808,476;82,477
3537,204;97,0831
3852,2148;88,033
4272,0768;137,134
3932,5296;90,5136
3697,986;116,6159
3551,682;90,6185
3927,0432;88,7287
3955,6944;299,1172
4174,0836;90,8592
4254,7032;90,319
3944,5692;85,4599
4043,7816;270,3497
3595,5732;250,012
3929,634;84,6543
3432,5052;84,0571
3489,5028;108,7861
3645,2556;110,4486
3481,7304;105,9567
4230,3192;133,4439
4036,314;178,8235
4219,8036;142,597
3714,9024;108,8311
3891,6864;74,4668
3991,356;103,4649
3585,21;105,8078
4199,9916;101,2838
3975,8112;103,5443
3669,9444;102,4999
3489,96;109,1994
3755,4408;88,0941
4029,7608;186,8214
4207,6116;110,9602
4085,9964;102,065
3784,092;84,5318
3990,7464;107,3878
3973,2204;95,7571
4055,5164;97,4238
4133,2404;92,6823
3765,042;83,704
3545,2812;95,2191
3512,9724;121,0195
4222,6992;112,23
3451,5552;114,447
3871,722;77,2962
4287,012;137,134
3532,7844;104,873
4023,8172;192,3989
3929,1768;92,61
4061,9172;97,2584
3700,1196;108,1854
4127,6016;100,6837
3920,7948;98,2352
3639,7692;94,6316
3718,1028;90,7695
3734,7144;95,0551
4022,4456;200,8968
3812,286;81,5818
4274,058;137,134
3686,0988;77,0257
3818,9916;75,2083
3832,5552;74,0148
4007,0532;251,7715
3518,4588;115,8594
3744,468;100,6373
4289,9076;137,134
3694,7856;105,5363
3543,1476;91,8285
3649,0656;97,1875
3446,3736;94,9727
3755,5932;88,7334
3562,6548;103,0939
3584,9052;108,1444
3452,7744;115,7785
3726,4848;89,9175
4195,2672;103,6658
4279,5444;137,134
4004,7672;331,4818
3687,6228;133,7051
3729,0756;99,6833
4197,5532;101,8547
3649,6752;91,3934
3821,8872;73,7964
3732,276;85,7521
3853,1292;80,9078
3940,9116;78,5635
3624,072;112,0458
3963,3144;180,5936
4152,7476;87,112
3586,8864;111,8577
3429,1524;100,7602
4077,462;101,6324
4145,8896;95,8557
3611,2704;60,0322
4028,694;163,6847
4016,8068;188,4472
3882,5424;94,1449
3816,5532;77,5139
3845,814;72,0489
3430,3716;93,2638
4171,0356;97,107
3418,0272;89,6287
4295,0892;137,134
4184,5992;94,5693
3773,8812;71,9572
4174,998;88,946
3451,4028;110,3451
3863,34;76,0315
4115,2572;107,9601
4038,7524;214,9356
3705,3012;95,7183
3860,292;73,1419
3988,1556;103,0175
4235,3484;109,1525
4087,9776;98,7894
3712,7688;96,7554
3890,6196;74,6665
4057,4976;97,3345
4238,244;106,3453
4033,7232;180,2296
3493,77;109,9281
3587,6484;95,4141
3831,7932;79,6478
3445,002;90,5502
3761,994;93,4833
3840,0228;79,6288
3570,732;95,2104
4259,4276;121,2373
3567,5316;96,2123
3875,532;82,0249
3772,0524;86,943
4250,2836;53,8989
3721,3032;85,2437
3753,3072;95,3112
4005,834;303,7433
4211,1168;108,9995
3578,352;82,0798
4236,8724;105,038
3623,0052;107,5021
3521,8116;110,0257
3952,0368;286,502
3854,5008;72,7443
4032,9612;186,7419
3776,7768;72,2523
4207,1544;110,6282
3649,98;96,4823
4204,5636;98,1582
4282,5924;137,134
3760,0128;91,6744
3702,1008;96,6782
4154,7288;91,5353
3982,8216;115,0451
4043,6292;263,5472
4210,6596;117,9984
3934,6632;86,8903
4140,8604;98,1906
3465,576;74,6772
3481,4256;109,8499
3599,3832;196,2153
3497,2752;103,1031
4058,412;99,9024
3698,748;107,4858
3980,688;99,265
4150,614;94,7314
4062,222;100,8335
3635,8068;87,433
3911,0412;99,8004
3588,8676;93,0833
3438,6012;85,2014
3423,5136;92,0641
3984,0408;93,5357
3452,3172;107,8319
3930,8532;91,5132
3480,816;113,1092
4129,278;95,1461
3639,6168;94,3305
3823,5636;75,3954
3809,8476;78,2746
3502,6092;238,3169
3801,7704;94,2865
4101,846;100,3913
3699,0528;111,5763
3577,1328;65,5896
3900,2208;87,6598
4202,5824;95,3228
3891,9912;78,1723
4286,5548;137,134
4221,0228;162,4603
4153,3572;92,627
3510,8388;115,5553
3508,0956;189,7033
3772,9668;83,3576
3565,2456;98,1535
4270,7052;137,134
3866,2356;78,1345
4155,6432;98,0633
3786,2256;90,7448
4251,198;78,5023
3437,6868;80,9212
4178,6556;95,2395
4094,988;96,353
3798,8748;84,8362
4275,4296;137,134
3552,444;102,6087
3930,396;86,8014
3645,1032;105,3436
4216,2984;109,9509
4026,2556;173,9141
4174,6932;91,7399
3545,1288;91,3399
3655,0092;113,9402
3519,8304;98,0558
3609,7464;82,5677
3500,7804;100,9217
3991,2036;105,2373
3497,7324;107,0043
4293,108;137,134
4096,9692;97,9267
3719,322;84,7468
3550,6152;90,4617
3453,384;104,6035
4033,4184;185,4617
4199,6868;101,4772
3704,3868;97,985
3998,214;289,2182
3449,2692;98,4615
3785,9208;88,2514
3851,7576;79,0067
3519,9828;96,139
3973,5252;99,7561
3597,5544;207,2773
3873,246;83,1229
3528,5172;116,627
3904,1832;97,9803
3950,3604;268,7879
3652,4184;94,1169
3465,4236;88,1012
4036,0092;177,8026
3839,2608;68,7236
4113,276;104,933
4257,1416;104,1885
3966,8196;78,8697
3993,7944;117,9962
4050,6396;110,9179
3931,3104;90,1831
3627,7296;111,2414
4013,3016;213,3823
4146,042;95,4087
3936,0348;89,2158
4131,564;96,9775
3801,1608;90,9272
4293,87;137,134
4065,5748;97,8234
3856,9392;84,1017
3889,0956;84,6125
4167,8352;92,8905
3683,2032;109,6258
4140,5556;96,0007
3886,962;77,2473
3973,3728;96,6334
4164,9396;104,1316
3503,2188;229,3991
3658,0572;92,9859
3923,9952;89,3633
4240,9872;124,121
3994,5564;101,3829
3949,5984;207,0546
4300,1184;137,134
3429,762;92,2359
4216,7556;102,3798
4243,7304;99,7139
3868,8264;73,3353
4170,1212;99,8429
4187,6472;103,3088
3702,7104;97,5057
3622,0908;100,5868
4253,3316;83,1581
3548,634;92,1225
3946,8552;88,2831
3856,6344;85,0375
4178,046;101,654
4000,5;230,4534
3488,5884;107,7232
3588,5628;89,0184
3542,6904;95,0348
3514,6488;101,8833
3498,7992;111,4099
3785,7684;86,7985
3441,954;94,8217
4093,6164;100,6537
4052,9256;105,1552
4300,8804;137,134
4022,7504;193,6364
3520,8972;110,9846
4253,0268;75,1585
3837,7368;69,2635
3857,0916;81,926
3540,5568;102,576
3501,9996;182,3843
3768,09;86,7365
3664,9152;101,158
3931,7676;92,8719
4015,4352;197,2316
3985,1076;99,3767
3678,7836;85,6768
3497,8848;104,7763
3875,0748;83,4408
4053,6876;99,4723
3805,1232;87,5231
4026,8652;190,7728
3498,0372;104,9406
4027,7796;183,0984
3611,88;53,4244
4238,7012;104,4647
4062,6792;95,6612
4137,66;89,969
3963,7716;376,7508
3458,8704;109,4378
3646,0176;141,253
3472,1292;99,8813
4140,2508;96,8079
3907,8408;97,7069
3523,9452;112,9765
4265,3712;139,2833
3654,3996;121,7093
3537,0516;97,0276
3619,0428;101,6382
4022,598;194,2078
3859,2252;73,0012
3500,0184;109,0918
3647,2368;139,7615
3462,3756;110,9299
4147,8708;91,529
3873,0936;83,5601
4041,648;243,3609
3453,8412;98,8365
3871,5696;77,8037
3860,7492;77,8586
3617,3664;92,5765
3632,3016;90,5975
4172,2548;91,5927
3895,8012;83,192
3972,0012;103,7044
4170,426;98,3596
3599,688;198,087
4260,4944;107,5921
3698,2908;111,3702
4223,9184;195,3572
3631,8444;90,8472
3632,1492;90,1292
4264,152;140,0208
3557,9304;97,8286
3918,5088;91,0609
4121,2008;89,7534
3918,204;91,9529
3593,1348;176,8766
3873,7032;78,8574
3721,4556;86,7014
4115,562;102,8914
4189,476;119,8124
3750,2592;89,7044
3696,7668;101,5987
3424,428;92,2452
3831,1836;79,2164
3692,3472;122,1193
3679,2408;67,9965
4237,482;105,6795
3901,1352;86,5268
3913,7844;87,2652
4268,724;137,1462
3908,6028;100,5701
3449,7264;101,8151
4215,384;109,5845
4198,9248;101,7923
4006,1388;297,7635
4058,7168;99,6659
3675,126;102,2839
3416,1984;97,142
4012,3872;206,9181
3750,7164;90,6671
4092,5496;95,6408
3493,1604;113,5939
3893,9724;84,8319
3419,2464;91,8071
3909,6696;89,0582
3853,5864;74,2445
3767,7852;85,773
4050,9444;109,2226
4276,6488;137,134
4277,5632;137,134
3668,268;97,2199
3803,904;90,6624
3775,2528;86,9547
4101,9984;102,0649
4054,7544;103,1155
4282,44;137,134
3978,0972;105,5094
3539,0328;99,76
3793,8456;196,1062
3589,3248;92,0693
4032,504;182,7148
4181,856;104,1563
3427,0188;92,9551
4255,6176;96,0217
4169,0544;94,8794
3765,6516;86,0047
3985,7172;86,4113
3714,1404;107,5081
4228,6428;140,22
4206,0876;112,106
3667,506;85,5083
3436,0104;84,1234
4091,4828;99,0156
3959,9616;319,0227
4295,394;137,134
4092,3972;96,1632
3944,112;83,6454
3975,354;99,6831
3827,8308;77,809
3660,8004;102,6355
